"method","path","source","generic_auth_middleware","generic_idempotency_middleware","openapi_literal_or_parameter_match"
"GET","/v1/escrows","api/src/routes/economy/escrow.ts:56","api/src/index.ts:327","","true"
"GET","/v1/escrows/:id","api/src/routes/economy/escrow.ts:63","api/src/index.ts:327","","true"
"POST","/v1/escrows/:id/accept","api/src/routes/economy/escrow.ts:69","api/src/index.ts:327","","true"
"POST","/v1/escrows/:id/release","api/src/routes/economy/escrow.ts:85","api/src/index.ts:327","","true"
"POST","/v1/escrows/:id/refund","api/src/routes/economy/escrow.ts:91","api/src/index.ts:327","","true"
"POST","/v1/escrows/:id/dispute","api/src/routes/economy/escrow.ts:97","api/src/index.ts:327","","true"
"POST","/v1/billing/checkout","api/src/routes/billing/index.ts:145","","","false"
"POST","/v1/billing/webhook","api/src/routes/billing/index.ts:178","","","false"
"POST","/v1/billing/gallery-checkout","api/src/routes/billing/index.ts:316","","","false"
"GET","/v1/billing/session/:id/gallery-claim","api/src/routes/billing/index.ts:362","","","false"
"GET","/v1/billing/gallery-claim/:token","api/src/routes/billing/index.ts:408","","","false"
"GET","/v1/billing/session/:id/code","api/src/routes/billing/index.ts:468","","","false"
"POST","/v1/gift-credits/redeem","api/src/routes/gift-credits.ts:19","api/src/index.ts:326","","false"
"GET","/v1/vault/audit","api/src/routes/vault/audit.ts:16","api/src/index.ts:328","api/src/index.ts:569","false"
"GET","/v1/vault/:name/audit","api/src/routes/vault/audit.ts:40","api/src/index.ts:328","api/src/index.ts:569","false"
"POST","/v1/vault/bulk","api/src/routes/vault/bulk.ts:33","api/src/index.ts:328","api/src/index.ts:569","false"
"POST","/v1/vault/check","api/src/routes/vault/bulk.ts:132","api/src/index.ts:328","api/src/index.ts:569","false"
"GET","/v1/vault/:name/versions","api/src/routes/vault/versions.ts:12","api/src/index.ts:328","api/src/index.ts:569","false"
"PUT","/v1/vault/:name/policy","api/src/routes/vault/policy.ts:18","api/src/index.ts:328","api/src/index.ts:569","false"
"GET","/v1/vault/:name/policy","api/src/routes/vault/policy.ts:60","api/src/index.ts:328","api/src/index.ts:569","false"
"PUT","/v1/vault/:name","api/src/routes/vault/secrets.ts:75","api/src/index.ts:328","api/src/index.ts:569","false"
"GET","/v1/vault/:name","api/src/routes/vault/secrets.ts:190","api/src/index.ts:328","api/src/index.ts:569","false"
"DELETE","/v1/vault/:name","api/src/routes/vault/secrets.ts:289","api/src/index.ts:328","api/src/index.ts:569","false"
"GET","/v1/vault","api/src/routes/vault/secrets.ts:327","api/src/index.ts:328","api/src/index.ts:569","false"
"GET","/v1/bootstrap/scaffold/context","api/src/routes/scaffold.ts:481","api/src/index.ts:329","api/src/index.ts:570","true"
"GET","/v1/bootstrap/scaffold","api/src/routes/scaffold.ts:492","api/src/index.ts:329","api/src/index.ts:570","true"
"POST","/v1/bootstrap","api/src/routes/bootstrap.ts:57","api/src/index.ts:329","api/src/index.ts:570","false"
"GET","/v1/bootstrap/:agent_id","api/src/routes/bootstrap.ts:165","api/src/index.ts:329","api/src/index.ts:570","false"
"POST","/v1/bootstrap/elevate","api/src/routes/bootstrap.ts:282","api/src/index.ts:329","api/src/index.ts:570","false"
"POST","/v1/autonomous/bootstrap","api/src/routes/autonomous/index.ts:92","api/src/index.ts:330","","false"
"GET","/v1/welcome","api/src/routes/welcome.ts:593","","","false"
"GET","/v1/pathways","api/src/routes/pathways.ts:537","","","true"
